"","Xt"
"143",0.0298462552081092
"144",-0.0278966739634362
"145",-0.0207161643468307
"146",0.0014500829180875
"147",0.0453517947284676
"148",0.00275003702758246
"149",-0.0324804401679222
"150",-0.00812120016435063
"151",-0.0116291618924246
"152",0.0136858685522926
"153",-0.00473815345579382
"154",0.00605148001531045
"155",-0.0234701061178631
"156",0.00714645190558423
"157",-0.000246124092877355
"158",0.0184801352482542
"159",-0.0143789260956008
"160",0.0103119550053979
"161",0.02289515251994
"162",0.0486655653455959
"163",0.0344591486574728
"164",-0.0157390338780399
"165",0.0676025633968429
"166",0.000585259764724843
"167",-0.0890185525153397
"168",0.0322746612350871
"169",-0.0453408719445256
"170",0.0329746812272335
"171",0.0133691990429852
"172",0.0823951656347876
"173",-0.0695462657572978
"174",0.0353479996111327
"175",0.103977761525121
"176",-0.113157645936747
"177",0.137708299878638
"178",-0.0430309344696974
"179",0.0247845901830692
"180",0.00769154219187078
"181",0.065590231031211
"182",0.0214731360135631
"183",-0.095605886427046
"184",0.00552389993646125
"185",-0.0512851726193942
"186",0.0422838004636095
"187",-0.028138279966376
"188",0.00204277940602173
"189",0.0540518655439396
"190",-0.0165489333373428
"191",0.0144756359352564
"192",-0.0836399283767585
"193",0.0116498428927964
"194",-0.0252725914857384
"195",-0.00719017618670598
"196",-0.0194376300892221
"197",-0.0492690604942743
"198",0.00916922651629243
"199",-0.0079143575218129
"200",0.0136617167694733
"201",0.0209750697697751
"202",0.0313981456946887
"203",-0.0283966332826312
"204",0.00388304108336716
"205",-0.0284606801375467
"206",-0.000706708040452814
"207",0.0163421213521654
"208",-0.032317145186622
"209",-0.0208765840730743
"210",0.0162301957778323
"211",-0.0140496591494437
"212",-0.0148973529394006
"213",-0.0102644330739343
"214",-0.0102916787369674
"215",-0.0235228289994826
"216",-0.0156129273645563
"217",0.011494116192929
"218",0.0121476022077287
"219",-0.00612475430982319
"220",0.00592975063573171
"221",-0.0232877819117468
"222",0.00579508485681488
"223",-0.0192614761789614
"224",0.00748356698993707
"225",-0.00641793398262396
"226",0.00679663670709975
"227",-0.00434746715351746
"228",-0.000440094628524378
"229",0.000974550091347335
"230",-0.0122229249804531
"231",-0.00461879860685416
"232",-0.00548993946525876
"233",0.00864949529538349
"234",-0.0280829660863538
"235",-0.00589502029380444
"236",-0.0310897678617547
"237",-0.0254021206093017
"238",0.0492011270207299
"239",-0.00859637927903986
"240",-0.0122914292301463
"241",-0.0261570445731692
"242",0.00139269763415895
"243",-0.000398023115091626
"244",0.00573100123048776
"245",-0.0258274681844084
"246",-0.0211201642772703
"247",0.0178097728704802
"248",-0.0131883050985395
"249",0.0312077386448097
"250",-0.022785130666593
"251",-0.00831287874973552
